,train_loss,train_accuracy,validation_loss,validation_accuracy
0,1.2460782703157027,0.09328621908127209,1.2357175449979791,0.11199095022624435
1,1.1846979787071685,0.19081272084805653,1.1196243437976319,0.29638009049773756
2,1.0788281074176829,0.2924381625441696,1.0393567220792512,0.3269230769230769
3,1.013180247625277,0.34063604240282686,0.9881160214745621,0.3665158371040724
4,0.9420657763590661,0.4067844522968198,0.9316502765697592,0.4264705882352941
5,0.8684679825819844,0.47236749116607774,0.8585654542659202,0.4626696832579186
6,0.7941336389270351,0.5320141342756184,0.8182182114453337,0.5113122171945701
7,0.7093577384927668,0.5902473498233216,0.761143868207527,0.5429864253393665
8,0.6281890370546719,0.6472084805653711,0.7248204237027136,0.579185520361991
9,0.555214380177508,0.6959717314487632,0.6857215965680812,0.6097285067873304
10,0.4831422810598734,0.7453003533568905,0.6712142817288368,0.6323529411764706
11,0.4237497490618128,0.781625441696113,0.6327185019496744,0.6402714932126696
12,0.36653620428494554,0.8120141342756184,0.6261858822845293,0.6504524886877828
13,0.32310804289610984,0.8375971731448764,0.612940524885962,0.668552036199095
14,0.28198928986705657,0.8580918727915194,0.5957800596889227,0.6809954751131222
15,0.24163912953749667,0.8798586572438163,0.5990023274455067,0.6776018099547512
16,0.2120980797893641,0.8969611307420494,0.6135488755925141,0.6798642533936652
17,0.1819446441873434,0.9139222614840989,0.5892641810822508,0.7024886877828054
18,0.1604952641346166,0.9249469964664311,0.5967875470805543,0.7092760180995475
19,0.13703216643075955,0.9375265017667844,0.6153336681090548,0.6832579185520362
20,0.11768032739945941,0.9492579505300354,0.6018979054953634,0.7013574660633484
21,0.10224243677731328,0.9571731448763251,0.5869053532137658,0.7217194570135747
22,0.08805545629571478,0.9645229681978799,0.6299058294679118,0.7036199095022625
23,0.08062958830105332,0.9665017667844523,0.6259647934830314,0.7058823529411765
24,0.0700995570385019,0.9727208480565371,0.6144783577962876,0.7217194570135747
25,0.06117481770244009,0.9768197879858658,0.6312050234762914,0.7092760180995475
26,0.05607401549437679,0.9786572438162544,0.644647211569669,0.7171945701357466
